States,Years,Quarter,RegisteredUsers,Districts,AppOpens
arunachal-pradesh,2018,1,301,upper siang district,0
arunachal-pradesh,2018,1,97,kurung kumey district,0
arunachal-pradesh,2018,1,192,siang district,0
arunachal-pradesh,2018,1,88,kra daadi district,0
arunachal-pradesh,2018,1,1208,changlang district,0
arunachal-pradesh,2018,1,39,pakke kessang district,0
arunachal-pradesh,2018,1,1803,east siang district,0
arunachal-pradesh,2018,1,572,upper subansiri district,0
arunachal-pradesh,2018,1,1525,tawang district,0
arunachal-pradesh,2018,1,737,namsai district,0
arunachal-pradesh,2018,2,724,lower subansiri district,0
arunachal-pradesh,2018,2,856,tirap district,0
arunachal-pradesh,2018,2,11418,papum pare district,0
arunachal-pradesh,2018,2,410,anjaw district,0
arunachal-pradesh,2018,2,494,lower siang district,0
arunachal-pradesh,2018,2,112,dibang valley district,0
arunachal-pradesh,2018,2,3442,west kameng district,0
arunachal-pradesh,2018,2,80,shi yomi district,0
arunachal-pradesh,2018,2,343,east kameng district,0
arunachal-pradesh,2018,2,1898,lohit district,0
arunachal-pradesh,2018,2,318,lepa rada district,0
arunachal-pradesh,2018,2,893,lower dibang valley district,0
arunachal-pradesh,2018,2,412,longding district,0
arunachal-pradesh,2018,2,1224,west siang district,0
arunachal-pradesh,2018,2,37,kamle district,0
arunachal-pradesh,2018,2,481,upper siang district,0
arunachal-pradesh,2018,2,153,kurung kumey district,0
arunachal-pradesh,2018,2,293,siang district,0
arunachal-pradesh,2018,2,144,kra daadi district,0
arunachal-pradesh,2018,2,2014,changlang district,0
arunachal-pradesh,2018,2,66,pakke kessang district,0
arunachal-pradesh,2018,2,2646,east siang district,0
arunachal-pradesh,2018,2,883,upper subansiri district,0
arunachal-pradesh,2018,2,2266,tawang district,0
arunachal-pradesh,2018,2,1276,namsai district,0
arunachal-pradesh,2018,3,1033,lower subansiri district,0
arunachal-pradesh,2018,3,1226,tirap district,0
arunachal-pradesh,2018,3,16009,papum pare district,0
arunachal-pradesh,2018,3,542,anjaw district,0
arunachal-pradesh,2018,3,717,lower siang district,0
arunachal-pradesh,2018,3,145,dibang valley district,0
arunachal-pradesh,2018,3,4765,west kameng district,0
arunachal-pradesh,2018,3,118,shi yomi district,0
arunachal-pradesh,2018,3,521,east kameng district,0
arunachal-pradesh,2018,3,2612,lohit district,0
arunachal-pradesh,2018,3,431,lepa rada district,0
arunachal-pradesh,2018,3,1286,lower dibang valley district,0
arunachal-pradesh,2018,3,644,longding district,0
arunachal-pradesh,2018,3,1652,west siang district,0
arunachal-pradesh,2018,3,65,kamle district,0
arunachal-pradesh,2018,3,646,upper siang district,0
arunachal-pradesh,2018,3,222,kurung kumey district,0
arunachal-pradesh,2018,3,373,siang district,0
arunachal-pradesh,2018,3,190,kra daadi district,0
arunachal-pradesh,2018,3,2889,changlang district,0
arunachal-pradesh,2018,3,103,pakke kessang district,0
arunachal-pradesh,2018,3,3590,east siang district,0
arunachal-pradesh,2018,3,1169,upper subansiri district,0
arunachal-pradesh,2018,3,3112,tawang district,0
arunachal-pradesh,2018,3,1862,namsai district,0
arunachal-pradesh,2018,4,1459,lower subansiri district,0
arunachal-pradesh,2018,4,1684,tirap district,0
arunachal-pradesh,2018,4,21342,papum pare district,0
arunachal-pradesh,2018,4,744,anjaw district,0
arunachal-pradesh,2018,4,936,lower siang district,0
arunachal-pradesh,2018,4,178,dibang valley district,0
arunachal-pradesh,2018,4,6492,west kameng district,0
arunachal-pradesh,2018,4,144,shi yomi district,0
arunachal-pradesh,2018,4,691,east kameng district,0
arunachal-pradesh,2018,4,3588,lohit district,0
arunachal-pradesh,2018,4,548,lepa rada district,0
arunachal-pradesh,2018,4,1827,lower dibang valley district,0
arunachal-pradesh,2018,4,923,longding district,0
arunachal-pradesh,2018,4,2117,west siang district,0
arunachal-pradesh,2018,4,109,kamle district,0
arunachal-pradesh,2018,4,868,upper siang district,0
arunachal-pradesh,2018,4,321,kurung kumey district,0
arunachal-pradesh,2018,4,483,siang district,0
arunachal-pradesh,2018,4,255,kra daadi district,0
arunachal-pradesh,2018,4,4036,changlang district,0
arunachal-pradesh,2018,4,138,pakke kessang district,0
arunachal-pradesh,2018,4,4813,east siang district,0
arunachal-pradesh,2018,4,1576,upper subansiri district,0
arunachal-pradesh,2018,4,4085,tawang district,0
arunachal-pradesh,2018,4,2495,namsai district,0
arunachal-pradesh,2019,1,1879,lower subansiri district,0
arunachal-pradesh,2019,1,2082,tirap district,0
arunachal-pradesh,2019,1,26298,papum pare district,0
arunachal-pradesh,2019,1,934,anjaw district,0
arunachal-pradesh,2019,1,1123,lower siang district,0
arunachal-pradesh,2019,1,211,dibang valley district,0
arunachal-pradesh,2019,1,8115,west kameng district,0
arunachal-pradesh,2019,1,186,shi yomi district,0
arunachal-pradesh,2019,1,876,east kameng district,0
arunachal-pradesh,2019,1,4416,lohit district,0
arunachal-pradesh,2019,1,710,lepa rada district,0
arunachal-pradesh,2019,1,2314,lower dibang valley district,0
arunachal-pradesh,2019,1,1152,longding district,0
arunachal-pradesh,2019,1,2656,west siang district,0
arunachal-pradesh,2019,1,141,kamle district,0
arunachal-pradesh,2019,1,1125,upper siang district,0
arunachal-pradesh,2019,1,385,kurung kumey district,0
arunachal-pradesh,2019,1,651,siang district,0
arunachal-pradesh,2019,1,350,kra daadi district,0
arunachal-pradesh,2019,1,5210,changlang district,0
arunachal-pradesh,2019,1,162,pakke kessang district,0
arunachal-pradesh,2019,1,5899,east siang district,0
arunachal-pradesh,2019,1,1906,upper subansiri district,0
arunachal-pradesh,2019,1,5023,tawang district,0
arunachal-pradesh,2019,1,3153,namsai district,0
arunachal-pradesh,2019,2,2463,lower subansiri district,11644
arunachal-pradesh,2019,2,2697,tirap district,12779
arunachal-pradesh,2019,2,32800,papum pare district,163673
arunachal-pradesh,2019,2,1175,anjaw district,4993
arunachal-pradesh,2019,2,1457,lower siang district,7737
arunachal-pradesh,2019,2,241,dibang valley district,258
arunachal-pradesh,2019,2,9782,west kameng district,73944
arunachal-pradesh,2019,2,225,shi yomi district,24
arunachal-pradesh,2019,2,1075,east kameng district,4146
