States,Years,Quarter,Transaction_Type,Transaction_Amount,Transaction_Count
arunachal-pradesh,2023,3,Merchant payments,4277046551.0,5451474
arunachal-pradesh,2023,3,Recharge & bill payments,482412481.0,1450780
arunachal-pradesh,2023,3,Financial Services,11365670.0,4825
arunachal-pradesh,2023,3,Others,4813862.0,5997
assam,2018,1,Recharge & bill payments,93491181.14056379,632092
assam,2018,1,Peer-to-peer payments,993525195.9818655,318025
assam,2018,1,Merchant payments,34501622.89266755,40482
assam,2018,1,Financial Services,4936862.200688562,18172
assam,2018,1,Others,31349593.99668264,48110
assam,2018,2,Recharge & bill payments,174427478.21340805,984160
assam,2018,2,Peer-to-peer payments,2064314053.1339972,530781
assam,2018,2,Merchant payments,73366344.80739225,79307
assam,2018,2,Financial Services,7051504.657611102,22773
assam,2018,2,Others,31425754.725386057,46852
assam,2018,3,Recharge & bill payments,254569069.32411742,1275136
assam,2018,3,Peer-to-peer payments,3424136709.5088205,843571
assam,2018,3,Merchant payments,96783839.37466942,159532
assam,2018,3,Financial Services,4741123.821880115,22677
assam,2018,3,Others,30904247.884785894,50935
assam,2018,4,Recharge & bill payments,317661277.3470997,1703488
assam,2018,4,Peer-to-peer payments,5284776455.070784,1279089
assam,2018,4,Merchant payments,240563395.2777939,667293
assam,2018,4,Financial Services,6331912.52655252,28035
assam,2018,4,Others,38689818.79087821,56267
assam,2019,1,Recharge & bill payments,400281677.94382846,1993220
assam,2019,1,Peer-to-peer payments,7291433300.700247,1976310
assam,2019,1,Merchant payments,266644645.74929428,494871
assam,2019,1,Financial Services,4612454.1127945455,20162
assam,2019,1,Others,39127457.944687635,48442
assam,2019,2,Recharge & bill payments,539315772.8606573,2512932
assam,2019,2,Peer-to-peer payments,10035232820.852964,2293770
assam,2019,2,Merchant payments,326844709.5879724,573646
assam,2019,2,Financial Services,4037222.414240564,13654
assam,2019,2,Others,49538663.41037582,60927
assam,2019,3,Peer-to-peer payments,11835800855.176552,2713539
assam,2019,3,Recharge & bill payments,639885372.7480905,2645302
assam,2019,3,Merchant payments,421380275.4207429,513728
assam,2019,3,Financial Services,6403456.344768786,8606
assam,2019,3,Others,46973660.73634353,61396
assam,2019,4,Peer-to-peer payments,14083346879.361855,3222143
assam,2019,4,Recharge & bill payments,704118873.972094,2937800
assam,2019,4,Merchant payments,456318130.082201,544053
assam,2019,4,Financial Services,3492255.0860687294,9621
assam,2019,4,Others,34707757.009855896,46893
assam,2020,1,Peer-to-peer payments,18977446151.768826,4058740
assam,2020,1,Recharge & bill payments,971722606.1579468,3897975
assam,2020,1,Merchant payments,675423852.9512749,792646
assam,2020,1,Financial Services,7054325.507515656,10173
assam,2020,1,Others,36781411.34368035,49326
assam,2020,2,Recharge & bill payments,1612522828.7163475,6045321
assam,2020,2,Peer-to-peer payments,17358374071.26616,3648386
assam,2020,2,Merchant payments,749018053.2400584,742400
assam,2020,2,Financial Services,18130004.687672265,19814
assam,2020,2,Others,28255168.009208795,49278
assam,2020,3,Peer-to-peer payments,26646565777.43919,5637893
assam,2020,3,Recharge & bill payments,1627282415.9451878,5292154
assam,2020,3,Merchant payments,1492484153.3873158,1383230
assam,2020,3,Financial Services,28452966.026372254,24954
assam,2020,3,Others,36605946.74600269,59480
assam,2020,4,Peer-to-peer payments,36013292450.814384,7538478
assam,2020,4,Recharge & bill payments,1662189124.4177454,5383505
assam,2020,4,Merchant payments,2466913305.59039,2392184
assam,2020,4,Financial Services,32314809.975261033,29764
assam,2020,4,Others,51901628.46643049,79523
assam,2021,1,Peer-to-peer payments,45476079487.10464,9449096
assam,2021,1,Recharge & bill payments,2103017761.546533,6494111
assam,2021,1,Merchant payments,3657261586.2001615,3459132
assam,2021,1,Financial Services,41291047.3832124,34049
assam,2021,1,Others,48814663.88782827,75672
assam,2021,2,Peer-to-peer payments,51521387890.61253,11668399
assam,2021,2,Recharge & bill payments,2657676415.2458973,9058005
assam,2021,2,Merchant payments,4914753140.040101,4562669
assam,2021,2,Financial Services,46106001.498141706,49671
assam,2021,2,Others,52549929.267157935,94161
assam,2021,3,Peer-to-peer payments,64131823895.235466,15617592
assam,2021,3,Recharge & bill payments,3248364164.1984267,10284267
